iteration_id;phase_id;phase_name;phase_duration_ms;metric_name;metric_value;metric_unit;metric_source;start_token;end_token;start_token_line;end_token_line;timestamp;command;exit_code;token_pattern
0;0;"START -> __WORK_START__";18;BRANCH_MISSES;800086;count;perf_event;START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;CACHE_MISSES;119488;count;perf_event;START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;CORE-0;480346;µJ;RAPL (perf_event);START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;CPU_CYCLES;60571438;count;perf_event;START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;DRAM-0;15808;µJ;RAPL (perf_event);START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;GPU-0;506;mJ;NVML;START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;INSTRUCTIONS;71303225;count;perf_event;START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;0;"START -> __WORK_START__";18;PACKAGE-0;653747;µJ;RAPL (perf_event);START;__WORK_START__;;1;1770947918240;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;1;"__WORK_START__ -> __WORK_END__";40;BRANCH_MISSES;94784;count;perf_event;__WORK_START__;__WORK_END__;1;2;1770947918258;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;1;"__WORK_START__ -> __WORK_END__";40;CACHE_MISSES;30328;count;perf_event;__WORK_START__;__WORK_END__;1;2;1770947918258;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
0;1;"__WORK_START__ -> __WORK_END__";40;CORE-0;1192138;µJ;RAPL (perf_event);__WORK_START__;__WORK_END__;1;2;1770947918258;"python3 ./examples/programs/workload.py";0;"__[A-Z0-9_]+__"
